ws,text type,value,word,frq,fpm
is a type of,Genre,Informational website,effect,8,0.27956351887579683
is a type of,Genre,Informational website,interest,8,0.27956351887579683
is a type of,Genre,Informational website,sewagetreatment,8,0.27956351887579683
is a type of,Genre,Informational website,accretion,7,0.2446180790163222
is a type of,Genre,Informational website,building,7,0.2446180790163222
is a type of,Genre,Informational website,wall,7,0.2446180790163222
is a type of,Genre,Informational website,authority,7,0.2446180790163222
is a type of,Genre,Informational website,heatwave,7,0.2446180790163222
is a type of,Genre,Informational website,heat,7,0.2446180790163222
is a type of,Genre,Informational website,precipitation,7,0.2446180790163222
is a type of,Genre,Informational website,storage,7,0.2446180790163222
is a type of,Genre,Informational website,trend,7,0.2446180790163222
is a type of,Genre,Informational website,rig,7,0.2446180790163222
is a type of,Genre,Informational website,greenhouse,7,0.2446180790163222
is a type of,Genre,Informational website,seal,7,0.2446180790163222
is a type of,Genre,Informational website,agriculture,7,0.2446180790163222
is a type of,Genre,Informational website,solution,7,0.2446180790163222
is a type of,Genre,Informational website,equation,6,0.2096726391568476
is a type of,Genre,Informational website,land,6,0.2096726391568476
is a type of,Genre,Informational website,example,6,0.2096726391568476
is a type of,Genre,Informational website,N,6,0.2096726391568476
is a type of,Genre,Informational website,conservation,6,0.2096726391568476
is a type of,Genre,Informational website,habitat,6,0.2096726391568476
is a type of,Genre,Informational website,biosphere,6,0.2096726391568476
is a type of,Genre,Informational website,power,6,0.2096726391568476
is a type of,Genre,Informational website,drill,6,0.2096726391568476
is a type of,Genre,Informational website,game,6,0.2096726391568476
is a type of,Genre,Informational website,depth,6,0.2096726391568476
is a type of,Genre,Informational website,park,6,0.2096726391568476
is a type of,Genre,Informational website,wilderness,6,0.2096726391568476
is a type of,Genre,Informational website,formamide,6,0.2096726391568476
is a type of,Genre,Informational website,scavenger,6,0.2096726391568476
is a type of,Genre,Informational website,fracture,6,0.2096726391568476
is a type of,Genre,Informational website,metal,5,0.174727199297373
is a type of,Genre,Informational website,Blow,5,0.174727199297373
is a type of,Genre,Informational website,wave,5,0.174727199297373
is a type of,Genre,Informational website,use,5,0.174727199297373
is a type of,Genre,Informational website,Preventors,5,0.174727199297373
is a type of,Genre,Informational website,sense,5,0.174727199297373
is a type of,Genre,Informational website,supply,5,0.174727199297373
is a type of,Genre,Informational website,time,5,0.174727199297373
is a type of,Genre,Informational website,group,5,0.174727199297373
is a type of,Genre,Informational website,BOPs,5,0.174727199297373
is a type of,Genre,Informational website,Out,5,0.174727199297373
is a type of,Genre,Informational website,sector,5,0.174727199297373
is a type of,Genre,Informational website,Mississippi,5,0.174727199297373
is a type of,Genre,Informational website,River,5,0.174727199297373
is a type of,Genre,Informational website,nutrient,4,0.13978175943789842
is a type of,Genre,Informational website,product,4,0.13978175943789842
is a type of,Genre,Informational website,dairy,4,0.13978175943789842
is a type of,Genre,Informational website,egg,4,0.13978175943789842
is a type of,Genre,Informational website,scheme,4,0.13978175943789842
is a type of,Genre,Informational website,cyclone,4,0.13978175943789842
is a type of,Genre,Informational website,system,4,0.13978175943789842
is a type of,Genre,Informational website,climate,4,0.13978175943789842
is a type of,Genre,Informational website,development,4,0.13978175943789842
is a type of,Genre,Informational website,construction,4,0.13978175943789842
is a type of,Genre,Informational website,meat,4,0.13978175943789842
is a type of,Genre,Informational website,absorbent,4,0.13978175943789842
is a type of,Genre,Informational website,m,4,0.13978175943789842
is a type of,Genre,Informational website,nature,4,0.13978175943789842
is a type of,Genre,Informational website,district,4,0.13978175943789842
is a type of,Genre,Informational website,vapor,4,0.13978175943789842
is a type of,Genre,Informational website,volume,4,0.13978175943789842
is a type of,Genre,News,frontage,9,0.3145089587352714
is a type of,Genre,News,coastline,9,0.3145089587352714
is a type of,Genre,News,sea,8,0.27956351887579683
is a type of,Genre,News,structure,8,0.27956351887579683
is a type of,Genre,News,wave,7,0.2446180790163222
is a type of,Genre,News,shoreline,7,0.2446180790163222
is a type of,Genre,News,morphology,7,0.2446180790163222
is a type of,Genre,News,apo,7,0.2446180790163222
is a type of,Genre,News,storm,7,0.2446180790163222
is a type of,Genre,News,Rice,7,0.2446180790163222
is a type of,Genre,News,S,6,0.2096726391568476
is a type of,Genre,News,water,6,0.2096726391568476
is a type of,Genre,News,Amo,6,0.2096726391568476
is a type of,Genre,News,tide,6,0.2096726391568476
is a type of,Genre,News,bottom,6,0.2096726391568476
is a type of,Genre,News,house,5,0.174727199297373
is a type of,Genre,News,protection,5,0.174727199297373
is a type of,Genre,News,heat,4,0.13978175943789842
is a type of,Genre,News,beach,4,0.13978175943789842
is a type of,Genre,News,mode,4,0.13978175943789842
is a type of,Genre,News,climate,4,0.13978175943789842
is a type of,Genre,News,datum,4,0.13978175943789842
is a type of,Genre,News,continuum,4,0.13978175943789842
is a type of,Genre,News,camping,4,0.13978175943789842
is a type of,Genre,News,thousand,3,0.1048363195784238
is a type of,Genre,News,today,3,0.1048363195784238
is a type of,Genre,News,flood,3,0.1048363195784238
is a type of,Genre,News,transportation,3,0.1048363195784238
is a type of,Genre,News,quality,3,0.1048363195784238
is a type of,Genre,News,waste,3,0.1048363195784238
is a type of,Genre,News,mine,3,0.1048363195784238
is a type of,Genre,News,medium,3,0.1048363195784238
is a type of,Genre,News,loss,3,0.1048363195784238
is a type of,Genre,News,estimate,3,0.1048363195784238
is a type of,Genre,News,habitat,3,0.1048363195784238
is a type of,Genre,News,type,3,0.1048363195784238
is a type of,Genre,News,uncertainty,3,0.1048363195784238
is a type of,Genre,News,Oscillation,3,0.1048363195784238
is a type of,Genre,News,change,3,0.1048363195784238
is a type of,Genre,News,food,3,0.1048363195784238
is a type of,Genre,News,coal,3,0.1048363195784238
is a type of,Genre,News,energy,3,0.1048363195784238
is a type of,Genre,News,ground,3,0.1048363195784238
is a type of,Genre,News,spread,3,0.1048363195784238
is a type of,Genre,News,Australia,3,0.1048363195784238
is a type of,Genre,News,carbon,3,0.1048363195784238
is a type of,Genre,News,dioxide,3,0.1048363195784238
is a type of,Genre,News,ore,3,0.1048363195784238
is a type of,Genre,News,iron,3,0.1048363195784238
is a type of,Genre,News,storm-prone,3,0.1048363195784238
is a type of,Genre,News,open-pit,3,0.1048363195784238
