s.id,frq,fpm,ref#
s#158553,2,0.06989087971894921,47
s#267516,2,0.06989087971894921,47
s#827115,2,0.06989087971894921,47
s#833488,2,0.06989087971894921,47
s#773908,1,0.034945439859474604,47
s#1060333,2,0.06989087971894921,47
s#1014970,2,0.06989087971894921,47
s#1007248,2,0.06989087971894921,47
s#292049,2,0.06989087971894921,47
s#937460,2,0.06989087971894921,47
s#851708,2,0.06989087971894921,47
s#226742,2,0.06989087971894921,47
s#511469,3,0.1048363195784238,47
s#448167,2,0.06989087971894921,47
s#841720,2,0.06989087971894921,47
s#109789,8,0.27956351887579683,47
s#149035,6,0.2096726391568476,47
s#740284,5,0.174727199297373,47
s#781101,4,0.13978175943789842,47
s#4532,4,0.13978175943789842,47
s#648117,3,0.1048363195784238,47
s#500801,3,0.1048363195784238,47
s#450222,3,0.1048363195784238,47
s#40462,3,0.1048363195784238,47
s#746945,2,0.06989087971894921,47
s#148965,3,0.1048363195784238,47
s#139992,3,0.1048363195784238,47
s#258078,2,0.06989087971894921,47
s#766044,2,0.06989087971894921,47
s#609010,2,0.06989087971894921,47
s#603102,2,0.06989087971894921,47
s#312650,2,0.06989087971894921,47
s#589830,2,0.06989087971894921,47
s#541958,2,0.06989087971894921,47
s#793777,2,0.06989087971894921,47
s#448180,2,0.06989087971894921,47
s#41783,3,0.1048363195784238,47
s#869241,2,0.06989087971894921,47
s#325325,5,0.174727199297373,51
s#268662,14,0.4892361580326444,51
s#355464,5,0.174727199297373,51
s#303208,5,0.174727199297373,51
s#285573,5,0.174727199297373,51
s#143755,5,0.174727199297373,51
s#512963,5,0.174727199297373,51
s#745641,5,0.174727199297373,51
s#1028461,5,0.174727199297373,51
s#417858,4,0.13978175943789842,51
s#143745,4,0.13978175943789842,51
s#671571,4,0.13978175943789842,51
s#438601,22,0.7687996769084412,51
s#355435,3,0.1048363195784238,51
s#1015048,3,0.1048363195784238,51
s#890728,3,0.1048363195784238,51
s#634751,4,0.13978175943789842,51
s#242120,4,0.13978175943789842,51
s#242057,4,0.13978175943789842,51
s#457119,4,0.13978175943789842,51
s#629284,4,0.13978175943789842,51
s#633355,4,0.13978175943789842,51
s#332176,4,0.13978175943789842,51
s#522514,5,0.174727199297373,51
s#1048154,5,0.174727199297373,51
s#79921,4,0.13978175943789842,51
s#299059,5,0.174727199297373,51
s#608114,5,0.174727199297373,51
s#359748,6,0.2096726391568476,51
s#452494,6,0.2096726391568476,51
s#43811,7,0.2446180790163222,51
s#77571,6,0.2096726391568476,51
s#490544,8,0.27956351887579683,51
s#78273,9,0.3145089587352714,51
s#228170,9,0.3145089587352714,51
s#495772,10,0.349454398594746,51
s#403256,10,0.349454398594746,51
s#78212,11,0.3843998384542206,51
s#253570,7,0.2446180790163222,51
s#82847,6,0.2096726391568476,51
s#71003,6,0.2096726391568476,51
s#76781,6,0.2096726391568476,51
s#86515,6,0.2096726391568476,51
s#949305,6,0.2096726391568476,51
s#589688,6,0.2096726391568476,51
s#628412,6,0.2096726391568476,51
s#937356,6,0.2096726391568476,51
s#267416,13,0.45429071817316985,51
s#1010837,6,0.2096726391568476,51
s#793657,6,0.2096726391568476,51
s#643402,3,0.1048363195784238,55
s#766924,3,0.1048363195784238,55
s#1052141,4,0.13978175943789842,55
s#78013,4,0.13978175943789842,55
s#786783,5,0.174727199297373,55
s#341390,4,0.13978175943789842,55
s#876892,4,0.13978175943789842,55
s#657725,5,0.174727199297373,55
s#571663,11,0.3843998384542206,55
s#580126,20,0.698908797189492,55
s#594511,3,0.1048363195784238,55
s#544363,4,0.13978175943789842,55
s#242066,3,0.1048363195784238,55
s#610939,2,0.06989087971894921,55
s#13666,3,0.1048363195784238,55
s#936698,1,0.034945439859474604,55
s#922429,1,0.034945439859474604,55
s#888625,1,0.034945439859474604,55
s#455254,1,0.034945439859474604,55
s#271550,1,0.034945439859474604,55
s#230487,1,0.034945439859474604,55
s#132457,1,0.034945439859474604,55
s#83124,1,0.034945439859474604,55
s#888621,1,0.034945439859474604,55
s#948647,1,0.034945439859474604,55
s#131650,1,0.034945439859474604,55
s#672865,1,0.034945439859474604,55
s#191275,1,0.034945439859474604,55
s#802431,1,0.034945439859474604,55
s#224699,2,0.06989087971894921,55
s#399699,2,0.06989087971894921,55
s#552312,2,0.06989087971894921,55
